op_unique_carrier,op_carrier_fl_num,origin,origin_city_name,origin_state_nm,dest,dest_city_name,dest_state_nm,dep_delay,taxi_out,taxi_in,arr_delay,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,fl_year,fl_month,fl_day,fl_dayofweek,is_weekend,season,crs_dep_hour,crs_dep_min,dep_hour,dep_min,wheels_off_hour,wheels_off_min,wheels_on_hour,wheels_on_min,crs_arr_hour,crs_arr_min,arr_hour,arr_min
12,469.0,126,112,42,196,51,11,-0.3353926237695985,0.32001338058721673,0.08284838606039312,-0.42139910338388553,0,0,0.20215285254858403,0.12872050760452886,0.07979694464486564,0.14670853992542182,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,11,25,0,0,0,7,20,7,15,7,36,9,37,10,2,9,46
4,461.0,73,62,42,154,183,30,-0.3167469908283331,-0.3969270917778741,-0.48278040128996896,-0.5829805133586862,0,0,0.8880887162974089,0.6793648262059994,0.8022571335180295,0.9234794543303735,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,10,6,6,1,0,6,0,5,56,6,10,10,2,10,32,10,7
11,5581.0,193,50,11,98,92,12,-0.37268388965212934,2.1635745952403074,-0.6241875981275594,-0.1520967534258844,0,0,-1.0874065712992067,-0.9312698057033018,-1.1951328004254236,-1.1389812494344982,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,10,7,0,0,0,14,5,13,58,14,37,16,8,16,13,16,12
1,1576.0,214,201,38,56,48,31,-0.37268388965212934,-0.9090274291815105,-0.19996600761478792,-0.6907014533418867,0,0,-0.07222149295094592,-0.32556105524168427,-0.18935489042552875,-0.25841766974267794,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,2,8,3,0,3,10,4,9,57,10,6,11,48,12,26,11,55
11,4108.0,146,147,4,2,5,29,0.6714715550587346,0.5248535155486713,-0.0585588107771974,0.6378568064509189,0,0,-0.36031455572545235,-0.3668593791367945,-0.4443408394395866,-0.2684621212220523,1.128985772324134,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,9,21,5,1,2,8,29,9,18,9,41,12,5,11,30,12,13
4,2107.0,183,161,21,254,233,4,-0.3167469908283331,-0.3969270917778741,-0.48278040128996896,-0.3675386333922853,0,0,1.2584940827217743,1.216243036842433,1.3547266897151549,1.1461314621231722,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,6,30,6,1,1,18,15,18,11,18,25,19,56,20,14,20,1
13,2532.0,163,184,7,71,70,5,2.274995988007561,-0.0896668893356923,-0.19996600761478792,1.7509731862773237,0,0,1.4093999727465159,1.0785819571920654,1.1422383988701066,1.1863092680406695,-0.14611797876824387,6.52238621033634,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,7,28,6,1,2,16,0,18,15,18,32,19,48,18,10,19,55
13,1565.0,122,103,42,67,64,42,-0.2421644590632714,-1.0114474966622378,-0.6241875981275594,-0.33163165339788514,0,0,-0.7170012048748413,-0.7936087260529341,-0.6143314721156251,-0.635084600219217,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,11,20,2,0,0,12,0,12,0,12,8,13,20,13,35,13,24
1,1872.0,193,50,11,86,184,28,-0.3353926237695985,0.012753178145034964,0.36566277973557415,-0.33163165339788514,0,0,-0.2917209693505699,-0.2980288393116107,-0.34517963704523075,-0.1981509608664317,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,9,3,1,0,2,7,4,6,59,7,17,9,48,10,10,9,59
13,2584.0,120,112,42,135,123,7,1.305423075061759,-0.8066073617007832,-0.48278040128996896,1.2662289563529217,0,0,-0.3740332730004289,-0.3668593791367945,-0.21768666253820185,-0.03576566194987931,0.26903207972694887,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,1.939393867483993,2024,12,21,5,1,0,20,50,22,13,22,23,1,3,23,50,1,8
